paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
d2pUyiXwcm,5.5,Reject,4.50,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,2.0,8.0,4.0,,,
0cbUKCyBsH,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
GFWfR4G5fm,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,4.0,4.0,2.0,8.0,,,
TADsPhlp32,4.5,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
OPFE1zPYbU,3.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
zwfpyw345l,2.5,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
nHrYBGujps,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
aiM6bRd6bG,4.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,6.0,4.0,,,
RNsydf7HB4,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
A4Us8jxVGq,5.5,Accept,7.20,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,6.0,6.0,8.0,8.0,,
MQmrcX5jnk,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,2.0,,
omg9K6lI93,3.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
khBHJz2wcV,5.0,Accept,3.00,Accept (Poster),Accept,YES,0.0000,0.0000,0.0,2.0,6.0,4.0,,,
t5Nd4HiI3E,5.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,4.0,6.0,,,
s7oURFZTQD,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
fD9YRHazW3,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,2.0,8.0,6.0,6.0,,,
9wIVIjWn0F,5.5,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,8.0,2.0,6.0,6.0,,,
41JeFWdVFa,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,2.0,,,,
4hkMvkzai5,4.5,Reject,2.80,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,4.0,2.0,,
ppXAVexrAM,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,6.0,2.0,,,
IU4rqTlpRb,5.5,Accept,5.33,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,,,,
f4B4ohWO53,3.5,Reject,3.33,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,4.0,,,,
W42oLSwI9p,5.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
NcvmuiLuZn,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,2.0,,,
Me0n0iESJY,4.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,8.0,4.0,,,
MwuSvrthXq,5.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,4.0,,,
rajioNWfRs,5.0,Accept,6.67,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,6.0,,,,
gTMzRm8fb0,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,4.0,4.0,,,
WhO6Km5Rku,4.5,Reject,4.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,4.0,2.0,6.0,,,
cu6xWUNOzQ,4.5,Reject,6.67,Reject,Reject,YES,0.0000,0.0000,10.0,4.0,6.0,,,,
40sQXprYlm,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,8.0,4.0,,,
LD6B7AvkZq,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,2.0,,,
KAZpuq2W4Y,5.0,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,,,,
BDNctVKwuD,5.5,Accept,1.33,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,0.0,,,,
6Y9NP1qhoM,5.0,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,6.0,8.0,2.0,,,
gubSyVxWdG,5.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,2.0,8.0,6.0,,,
GE0b5aQAvm,3.0,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,,,,
